訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
財團法人台灣經濟研究院,臺北市,159381,職場日本語會話班,36,23,5420,20240826,20241118
新北市不動產業產業工會,新北市,159382,進階不動產買賣及法規實務班,45,22,8510,20240812,20241007
基隆市專業職能培訓人員職業工會,基隆市,159383,和諧粉彩指導員進階班,42,20,8760,20240819,20240930
社團法人台灣職能培育協會,桃園市,159387,無麩質烘焙食品班,45,25,9200,20240825,20241020
社團法人台灣職能培育協會,桃園市,159388,中式米麵食應用班,57,25,11100,20240910,20241119
臺北市輔育人員職業工會,臺北市,159399,手編織訂製服設計培訓班,36,30,8860,20240829,20241121
宜蘭縣布花完稿設計職業工會,宜蘭縣,159407,建築空間靚裝藝品針車技術應用班,106,20,23610,20240907,20241207
桃園市文創美學交流協會,桃園市,159408,美甲彩繪凝膠應用實務班,54,18,12400,20240824,20241026
新北市專業職能培訓人員職業工會,臺北市,159412,流行時尚髮藝快剪班,45,23,11870,20240903,20241217
中華民國全國職業總工會,桃園市,159415,皮革製版設計裁切成型技術班,88,24,19600,20240817,20241026
宜蘭縣布花完稿設計職業工會,宜蘭縣,159416,工藝製版裁縫成型與針車技能班,97,20,21600,20240829,20241121
中華民國腳底按摩職業工會聯合會,臺北市,159420,民俗調理業-腳底按摩專業訓練術科B班,65,20,10800,20240901,20241027
新北市專利服務人員職業工會,臺北市,159422,進階商業英語會話班,45,22,8460,20240905,20241219
宜蘭縣清潔管理服務業職業工會,宜蘭縣,159423,智慧綠能水電基礎修護技能班,32,19,8100,20240824,20240901
全國勞工聯合總工會,臺北市,159426,Linux入門到企業應用實務班,47,22,8500,20240901,20241013
全國勞工聯合總工會,臺北市,159428,Python 網路爬蟲與資料分析進階班,47,22,8500,20240901,20241013
苗栗縣職業總工會,苗栗縣,159429,活用日語初級班,51,16,8400,20240806,20241203
全國勞工聯合總工會,臺北市,159430,Ubuntu Linux 系統管理入門實務班,47,22,8500,20240907,20241019
苗栗縣職業總工會,苗栗縣,159431,藝術果凍花實務班,54,24,10660,20240901,20241110
社團法人中華民國居家用品創意翻新協會,臺北市,159436,成衣女裝製作基礎班,126,15,28000,20240907,20241221
中華民國腳底按摩職業工會聯合會,臺北市,159438,民俗調理業-腳底按摩專業訓練術科A班,65,20,10800,20240828,20241023
宜蘭縣資訊服務職業工會,宜蘭縣,159441,Photoshop暨Illustrator影像美編專班,45,20,9300,20240911,20241014
新北市勞動力援助人員職業工會,臺北市,159443,傳統整復推拿全身調理手法應用實務班,60,24,10390,20240906,20241108
中華民國全國公務機關勞工總工會,臺北市,159446,職場情境日語中級班,54,23,8690,20240825,20241103
中華民國指甲彩繪美容職業工會聯合會,新北市,159456,美甲沙龍手部保養及凝膠手繪結合異素材混搭設計班,84,25,18000,20240824,20241130
宜蘭縣褓姆業職業工會,宜蘭縣,159461,月子餐調理班,55,24,11300,20240824,20241012
台北市工商服務業職業工會,臺北市,159468,商業手機攝影暨光線技巧培訓班,55,24,9070,20240904,20241101
